Elevation,Frequency,Order,,,,
200,0.944444444,Lepidoptera,,,,
1900,0.875,Lepidoptera,,,,
2200,0.666666667,Lepidoptera,,,,
2700,0.692307692,Lepidoptera,,,,
3200,0.5,Lepidoptera,,,,
200,0.888888889,Coleoptera,,,,
1900,0.8125,Coleoptera,,,,
2200,0.866666667,Coleoptera,,,,
2700,1,Coleoptera,,,,
3200,0.75,Coleoptera,,,,
200,0.5,Hemiptera,,,,
1900,0.8125,Hemiptera,,,,
2200,0.933333333,Hemiptera,,,,
2700,0.692307692,Hemiptera,,,,
3200,0.75,Hemiptera,,,,
200,0.5,Hymenoptera,,,,
1900,0.375,Hymenoptera,,,,
2200,0.333333333,Hymenoptera,,,,
2700,0.307692308,Hymenoptera,,,,
3200,0.125,Hymenoptera,,,,
200,0.444444444,Araneae,,,,
1900,0.5625,Araneae,,,,
2200,0,Araneae,,,,
2700,0,Araneae,,,,
3200,0,Araneae,,,,
200,0.055555556,Psocoptera,,,,
1900,0.6875,Psocoptera,,,,
2200,0.4,Psocoptera,,,,
2700,0.384615385,Psocoptera,,,,
3200,0.5,Psocoptera,,,,
200,0.388888889,Orthoptera,,,,
1900,0.375,Orthoptera,,,,
2200,0.533333333,Orthoptera,,,,
2700,0.230769231,Orthoptera,,,,
3200,0.75,Orthoptera,,,,
200,0.277777778,Diptera,,,,
1900,0.5,Diptera,,,,
2200,0.6,Diptera,,,,
2700,0.307692308,Diptera,,,,
3200,1,Diptera,,,,
200,0.444444444,Blattodea,,,,
1900,0.1875,Blattodea,,,,
2200,0.2,Blattodea,,,,
2700,0.307692308,Blattodea,,,,
3200,0.25,Blattodea,,,,
200,0.111111111,Entomobryomorpha,,,,
1900,0.1875,Entomobryomorpha,,,,
2200,0.133333333,Entomobryomorpha,,,,
2700,0.230769231,Entomobryomorpha,,,,
3200,0.75,Entomobryomorpha,,,,
