tree,oecophylla presence,branch_damage,random_damage
1,1,4.375,11.5
2,1,5,1.5
3,1,8.75,1.5
4,1,13.94736842,17
5,1,3.75,2
6,1,13.5,14.5
7,1,11.25,11
8,1,6.875,14.5
9,1,4.285714286,8.5
10,1,7.142857143,9.5
11,1,21.66666667,3.125
12,1,23.75,29.375
13,1,28.75,22.5
14,1,10.625,5.625
15,1,26.76470588,14.375
16,1,18.66666667,18.75
17,1,24.28571429,22.5
1,0,10,20.5
2,0,2.083333333,1.5
3,0,16.66666667,0.5
4,0,4.705882353,13.5
5,0,0.238095238,2
6,0,12.85714286,36
7,0,24.70588235,24
8,0,13.75,19.5
9,0,27.85714286,26.5
10,0,34,15
11,0,22.22222222,16.875
12,0,23.33333333,15.625
13,0,25.58139535,24.375
14,0,8.571428571,5.625
15,0,20,26.875
16,0,16.11111111,18.125
17,0,30.76923077,27.5
